"Pseudomonas","Competitor.Community","PhagePresence","Time_day","Pop","Density"
"lasR","None",0,16,"P_aeruginosa",4.9e+07
"lasR","None",0,16,"P_aeruginosa",16800000
"lasR","None",0,16,"P_aeruginosa",1.09e+08
"lasR","None",0,16,"P_aeruginosa",4.5e+07
"lasR","None",0,16,"P_aeruginosa",16100000
"PAO1","Sa",0,16,"P_aeruginosa",4600000
"PAO1","Sa",0,16,"P_aeruginosa",3920000
"PAO1","Sa",0,16,"P_aeruginosa",1080000
"PAO1","Sa",0,16,"P_aeruginosa",1100000
"PAO1","Sa",0,16,"P_aeruginosa",11900000
"PAO1","Sm",0,16,"P_aeruginosa",680000
"PAO1","Sm",0,16,"P_aeruginosa",83000
"PAO1","Sm",0,16,"P_aeruginosa",1250000
"PAO1","Sm",0,16,"P_aeruginosa",720000
"PAO1","Sm",0,16,"P_aeruginosa",147000
"lasR","Sa",0,16,"P_aeruginosa",10400000
"lasR","Sa",0,16,"P_aeruginosa",1980000
"lasR","Sa",0,16,"P_aeruginosa",13200000
"lasR","Sa",0,16,"P_aeruginosa",1.8e+07
"lasR","Sa",0,16,"P_aeruginosa",14200000
"lasR","Sm",0,16,"P_aeruginosa",7900000
"lasR","Sm",0,16,"P_aeruginosa",7700000
"lasR","Sm",0,16,"P_aeruginosa",290000
"lasR","Sm",0,16,"P_aeruginosa",8100000
"lasR","Sm",0,16,"P_aeruginosa",610000
"PAO1","Sa+Sm",0,16,"P_aeruginosa",1030000
"PAO1","Sa+Sm",0,16,"P_aeruginosa",1020000
"PAO1","Sa+Sm",0,16,"P_aeruginosa",2110000
"PAO1","Sa+Sm",0,16,"P_aeruginosa",310000
"PAO1","Sa+Sm",0,16,"P_aeruginosa",75000
"lasR","Sa+Sm",0,16,"P_aeruginosa",8100000
"lasR","Sa+Sm",0,16,"P_aeruginosa",2400000
"lasR","Sa+Sm",0,16,"P_aeruginosa",8500000
"lasR","Sa+Sm",0,16,"P_aeruginosa",3380000
"lasR","Sa+Sm",0,16,"P_aeruginosa",14300000
