"Focal_strain","Competitor_community","PhagePresence","Time_day","Repeat","Pop","Density"
"PA14","SA",1,1,5,"DMS3vir",2.6e+09
"PA14","SA",1,2,5,"DMS3vir",2e+10
"PA14","SA",1,3,5,"DMS3vir",5.6e+07
"PA14","SA",1,0,6,"DMS3vir",10000
"PA14","SA",1,1,6,"DMS3vir",1.8e+09
"PA14","SA",1,2,6,"DMS3vir",1.4e+10
"PA14","SA",1,3,6,"DMS3vir",6.2e+07
"PA14","AB",1,0,1,"DMS3vir",10000
"PA14","AB",1,1,1,"DMS3vir",5e+09
"PA14","AB",1,2,1,"DMS3vir",6.8e+09
"PA14","AB",1,3,1,"DMS3vir",2.6e+08
"PA14","AB",1,0,2,"DMS3vir",10000
"PA14","AB",1,1,2,"DMS3vir",6.8e+09
"PA14","AB",1,2,2,"DMS3vir",3e+09
"PA14","AB",1,3,2,"DMS3vir",1.6e+08
"PA14","AB",1,0,3,"DMS3vir",10000
"PA14","AB",1,1,3,"DMS3vir",4.6e+09
"PA14","AB",1,2,3,"DMS3vir",2e+09
"PA14","AB",1,3,3,"DMS3vir",3.2e+08
"PA14","AB",1,0,4,"DMS3vir",10000
"PA14","AB",1,1,4,"DMS3vir",4.8e+09
"PA14","AB",1,2,4,"DMS3vir",3.2e+09
"PA14","AB",1,3,4,"DMS3vir",1.2e+08
"PA14","AB",1,0,5,"DMS3vir",10000
"PA14","AB",1,1,5,"DMS3vir",4.2e+09
"PA14","AB",1,2,5,"DMS3vir",3.6e+09
"PA14","AB",1,3,5,"DMS3vir",3.6e+08
"PA14","AB",1,0,6,"DMS3vir",10000
"PA14","AB",1,1,6,"DMS3vir",8.2e+09
"PA14","AB",1,2,6,"DMS3vir",3.2e+09
"PA14","AB",1,3,6,"DMS3vir",3.2e+08
"PA14","BC",1,0,1,"DMS3vir",10000
"PA14","BC",1,1,1,"DMS3vir",2.8e+10
"PA14","BC",1,2,1,"DMS3vir",4.2e+08
"PA14","BC",1,3,1,"DMS3vir",9e+07
"PA14","BC",1,0,2,"DMS3vir",10000
"PA14","BC",1,1,2,"DMS3vir",3.6e+10
"PA14","BC",1,2,2,"DMS3vir",1.06e+09
"PA14","BC",1,3,2,"DMS3vir",2.6e+08
"PA14","BC",1,0,3,"DMS3vir",10000
"PA14","BC",1,1,3,"DMS3vir",4.6e+10
"PA14","BC",1,2,3,"DMS3vir",9.8e+08
"PA14","BC",1,3,3,"DMS3vir",1.4e+08
"PA14","BC",1,0,4,"DMS3vir",10000
"PA14","BC",1,1,4,"DMS3vir",1e+10
"PA14","BC",1,2,4,"DMS3vir",1.4e+09
"PA14","BC",1,3,4,"DMS3vir",1.4e+08
"PA14","BC",1,0,5,"DMS3vir",10000
"PA14","BC",1,1,5,"DMS3vir",1.4e+10
"PA14","BC",1,2,5,"DMS3vir",1e+09
"PA14","BC",1,3,5,"DMS3vir",1.2e+08
"PA14","BC",1,0,6,"DMS3vir",10000
"PA14","BC",1,1,6,"DMS3vir",5.8e+09
"PA14","BC",1,2,6,"DMS3vir",2e+09
"PA14","BC",1,3,6,"DMS3vir",1.6e+08
"PA14","AB+BC+SA",1,0,1,"DMS3vir",10000
"PA14","AB+BC+SA",1,1,1,"DMS3vir",2.6e+09
"PA14","AB+BC+SA",1,2,1,"DMS3vir",8e+09
"PA14","AB+BC+SA",1,3,1,"DMS3vir",2e+08
"PA14","AB+BC+SA",1,0,2,"DMS3vir",10000
"PA14","AB+BC+SA",1,1,2,"DMS3vir",2.4e+09
"PA14","AB+BC+SA",1,2,2,"DMS3vir",2.8e+09
"PA14","AB+BC+SA",1,3,2,"DMS3vir",1.2e+08
"PA14","AB+BC+SA",1,0,3,"DMS3vir",10000
"PA14","AB+BC+SA",1,1,3,"DMS3vir",3.2e+09
"PA14","AB+BC+SA",1,2,3,"DMS3vir",1.8e+09
"PA14","AB+BC+SA",1,3,3,"DMS3vir",2.4e+08
"PA14","AB+BC+SA",1,0,4,"DMS3vir",10000
"PA14","AB+BC+SA",1,1,4,"DMS3vir",2.8e+09
"PA14","AB+BC+SA",1,2,4,"DMS3vir",8.6e+09
"PA14","AB+BC+SA",1,3,4,"DMS3vir",5.8e+07
"PA14","AB+BC+SA",1,0,5,"DMS3vir",10000
"PA14","AB+BC+SA",1,1,5,"DMS3vir",3.2e+09
"PA14","AB+BC+SA",1,2,5,"DMS3vir",6.8e+09
"PA14","AB+BC+SA",1,3,5,"DMS3vir",8e+07
"PA14","AB+BC+SA",1,0,6,"DMS3vir",10000
"PA14","AB+BC+SA",1,1,6,"DMS3vir",2.8e+09
"PA14","AB+BC+SA",1,2,6,"DMS3vir",2.8e+09
"PA14","AB+BC+SA",1,3,6,"DMS3vir",1e+08
"PA14","surfacemutant",1,0,1,"DMS3vir",10000
"PA14","surfacemutant",1,1,1,"DMS3vir",1.2e+08
"PA14","surfacemutant",1,2,1,"DMS3vir",4.2e+09
"PA14","surfacemutant",1,3,1,"DMS3vir",1e+09
"PA14","surfacemutant",1,0,2,"DMS3vir",10000
"PA14","surfacemutant",1,1,2,"DMS3vir",1e+08
"PA14","surfacemutant",1,2,2,"DMS3vir",5.8e+09
"PA14","surfacemutant",1,3,2,"DMS3vir",5.2e+08
"PA14","surfacemutant",1,0,3,"DMS3vir",10000
"PA14","surfacemutant",1,1,3,"DMS3vir",4.4e+07
"PA14","surfacemutant",1,2,3,"DMS3vir",3.4e+09
"PA14","surfacemutant",1,3,3,"DMS3vir",5.6e+08
"PA14","surfacemutant",1,0,4,"DMS3vir",10000
"PA14","surfacemutant",1,1,4,"DMS3vir",6.8e+07
"PA14","surfacemutant",1,2,4,"DMS3vir",5e+09
"PA14","surfacemutant",1,3,4,"DMS3vir",4.2e+08
"PA14","surfacemutant",1,0,5,"DMS3vir",10000
"PA14","surfacemutant",1,1,5,"DMS3vir",5.6e+07
"PA14","surfacemutant",1,2,5,"DMS3vir",7.8e+09
"PA14","surfacemutant",1,3,5,"DMS3vir",5.8e+08
"PA14","surfacemutant",1,0,6,"DMS3vir",10000
"PA14","surfacemutant",1,1,6,"DMS3vir",1e+08
"PA14","surfacemutant",1,2,6,"DMS3vir",1.4e+10
"PA14","surfacemutant",1,3,6,"DMS3vir",1.8e+08
