"Focal_strain","Bact_community","Phage_presence","Time_day","Pop","Density","Rep_pop","Study"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",310000,"4","Mumford_Friman"
"PAO1","Pa+Sa+Sm",0,16,"P_aeruginosa",75000,"5","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",8100000,"1","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",2400000,"2","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",8500000,"3","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",3380000,"4","Mumford_Friman"
"lasR","Pa+Sa+Sm",0,16,"P_aeruginosa",14300000,"5","Mumford_Friman"
"PA14","PA",1,0,"PA14",3020000,"Inoc","Alseth_etal"
"PA14","PA",1,0,"PA14",3200000,"Inoc","Alseth_etal"
"PA14","PA",1,0,"PA14",3760000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"PA14",544000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"PA14",574000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"PA14",582000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"SA",8100000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"SA",6700000,"Inoc","Alseth_etal"
"PA14","PA+SA",1,0,"SA",7200000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"PA14",3280000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"PA14",3400000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"PA14",3640000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"AB",17200000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"AB",14480000,"Inoc","Alseth_etal"
"PA14","PA+AB",1,0,"AB",16880000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"PA14",730000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"PA14",774000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"PA14",756000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"BC",6880000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"BC",7200000,"Inoc","Alseth_etal"
"PA14","PA+BC",1,0,"BC",6920000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"PA14",820000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"PA14",722000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"PA14",790000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"SA",1532000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"SA",2800000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"SA",2980000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"AB",2540000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"AB",2640000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"AB",2680000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"BC",3140000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"BC",2860000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,0,"BC",2760000,"Inoc","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",12880000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",13280000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",13580000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",15560000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",15100000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",15780000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",12120000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",12600000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",12360000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",10800000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",10840000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",10800000,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",11300000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",11640000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",12580000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",14360000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",14560000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"PA14",14200000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",9960,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",10640,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",11540,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",11320,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",11020,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",11560,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",9060,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",9100,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",9260,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",13280,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",12900,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",12720,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",7280,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",7740,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",6720,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",19580,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",19540,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"SA",18300,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1426000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1588000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1714000,"1","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1848000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1718000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1992000,"2","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1688000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1664000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1668000,"3","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",364,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",320,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",436,"4","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1424000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1524000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1704000,"5","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",1926000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",2020000,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"AB",2e+06,"6","Alseth_etal"
"PA14","PA+AB+BC+SA",1,1,"BC",12460000,"1","Alseth_etal"
