Treatment,Repeat,Primer set,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,R2,Efficiency,Slope,Notes/Comments
PA14 and MC,4,AB 16s,30.525,30.297,0.242,1.60E+02,1.86E+02,2.93E+01,0.999,90.085,-3.585,Standard run
PA14 and MC,4,AB 16s,30.042,30.297,0.242,2.18E+02,1.86E+02,2.93E+01,0.999,90.085,-3.585,Standard run
PA14 and MC,5,AB 16s,17.443,17.314,0.141,7.12E+05,7.75E+05,7.11E+04,0.999,90.085,-3.585,Standard run
PA14 and MC,5,AB 16s,17.337,17.314,0.141,7.62E+05,7.75E+05,7.11E+04,0.999,90.085,-3.585,Standard run
PA14 and MC,5,AB 16s,17.163,17.314,0.141,8.52E+05,7.75E+05,7.11E+04,0.999,90.085,-3.585,Standard run
PA14 and MC,6,AB 16s,16.972,16.928,0.038,9.63E+05,9.91E+05,2.43E+04,0.999,90.085,-3.585,Standard run
PA14 and MC,6,AB 16s,16.903,16.928,0.038,1.01E+06,9.91E+05,2.43E+04,0.999,90.085,-3.585,Standard run
PA14 and MC,6,AB 16s,16.909,16.928,0.038,1.00E+06,9.91E+05,2.43E+04,0.999,90.085,-3.585,Standard run
PA14 and MC,1,BC 16s (455),14.57,14.573,0.042,6.23E+06,6.22E+06,1.69E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,1,BC 16s (455),14.617,14.573,0.042,6.04E+06,6.22E+06,1.69E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,1,BC 16s (455),14.533,14.573,0.042,6.38E+06,6.22E+06,1.69E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,2,BC 16s (455),14.854,14.882,0.088,5.18E+06,5.09E+06,2.88E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,2,BC 16s (455),14.811,14.882,0.088,5.32E+06,5.09E+06,2.88E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,2,BC 16s (455),14.981,14.882,0.088,4.77E+06,5.09E+06,2.88E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,3,BC 16s (455),14.656,14.71,0.083,5.89E+06,5.69E+06,3.03E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,3,BC 16s (455),14.805,14.71,0.083,5.34E+06,5.69E+06,3.03E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,3,BC 16s (455),14.669,14.71,0.083,5.84E+06,5.69E+06,3.03E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,4,BC 16s (455),14.753,14.753,NA,5.53E+06,5.53E+06,NA,0.999,91.972,-3.531,Standard run
PA14 and MC,4,BC 16s (455),NA,NA,NA,NA,NA,NA,0.999,91.972,-3.531,Not enough sample
PA14 and MC,4,BC 16s (455),NA,NA,NA,NA,NA,NA,0.999,91.972,-3.531,Not enough sample
PA14 and MC,5,BC 16s (455),14.844,14.766,0.092,5.21E+06,5.49E+06,3.33E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,5,BC 16s (455),14.788,14.766,0.092,5.41E+06,5.49E+06,3.33E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,5,BC 16s (455),14.665,14.766,0.092,5.86E+06,5.49E+06,3.33E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,6,BC 16s (455),14.442,14.449,0.044,6.77E+06,6.75E+06,1.91E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,6,BC 16s (455),14.495,14.449,0.044,6.54E+06,6.75E+06,1.91E+05,0.999,91.972,-3.531,Standard run
PA14 and MC,6,BC 16s (455),14.409,14.449,0.044,6.92E+06,6.75E+06,1.91E+05,0.999,91.972,-3.531,Standard run
PA14 and SA,1,PA14 16s,11.617,11.764,0.318,1.16E+07,1.07E+07,2.17E+06,1,98.302,-3.363,Standard run
PA14 and SA,1,PA14 16s,11.545,11.764,0.318,1.22E+07,1.07E+07,2.17E+06,1,98.302,-3.363,Standard run
PA14 and SA,1,PA14 16s,12.129,11.764,0.318,8.19E+06,1.07E+07,2.17E+06,1,98.302,-3.363,Standard run
PA14 and SA,2,PA14 16s,11.318,11.365,0.06,1.43E+07,1.38E+07,5.65E+05,1,98.302,-3.363,Standard run
PA14 and SA,2,PA14 16s,11.345,11.365,0.06,1.40E+07,1.38E+07,5.65E+05,1,98.302,-3.363,Standard run
PA14 and SA,2,PA14 16s,11.433,11.365,0.06,1.32E+07,1.38E+07,5.65E+05,1,98.302,-3.363,Standard run
PA14 and SA,3,PA14 16s,11.581,11.658,0.116,1.19E+07,1.13E+07,8.76E+05,1,98.302,-3.363,Standard run
PA14 and SA,3,PA14 16s,11.603,11.658,0.116,1.17E+07,1.13E+07,8.76E+05,1,98.302,-3.363,Standard run
